id,host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
24284341,183171297,4/8/2018,within an hour,t,1,t,t,Entire residential home,4,1 bath,2,3,$150.00 ,2,60,0,0,0,0,90,14,2,4.97,4.97,4.97,4.99,4.99,4.99,2.47
24331594,182506684,4/4/2018,within an hour,t,1,t,t,Entire guesthouse,4,1 bath,1,3,$75.00 ,30,30,9,13,39,39,71,3,0,5,5,5,5,4.9,4.97,2.13
24334356,5154893,2/20/2013,within a few hours,f,10,t,t,Entire townhouse,4,1 bath,,2,$85.00 ,30,1125,29,59,89,89,60,2,1,4.45,4.52,4.6,4.7,4.48,4.48,1.48
24336436,160284434,11/27/2017,a few days or more,f,1,t,t,Entire residential home,6,1 bath,3,4,$120.00 ,30,1125,30,60,90,270,46,0,0,4.52,4.66,4.68,4.55,4.27,4.55,1.45
24350482,183732400,4/11/2018,within an hour,f,1,t,t,Entire guesthouse,2,1 bath,1,2,$125.00 ,3,40,17,43,73,158,60,20,2,4.85,4.95,4.92,4.9,4.95,4.85,1.84
24354719,39870452,7/28/2015,within an hour,f,1,t,t,Entire guest suite,4,1 bath,1,2,$89.00 ,30,90,5,26,56,146,64,5,1,4.88,4.92,4.94,4.95,4.53,4.83,1.64
24358063,183809635,4/11/2018,within an hour,t,2,t,t,Entire rental unit,2,1 bath,1,2,$157.00 ,2,1125,15,25,44,95,87,27,1,4.82,4.87,4.85,4.89,4.92,4.9,2.16
24429312,101652405,10/28/2016,within an hour,t,13,t,t,Entire residential home,9,2 baths,3,5,$332.00 ,2,1124,2,12,28,172,154,55,3,4.94,4.97,4.9,4.9,4.73,4.88,3.77
24431527,92894044,8/31/2016,within an hour,t,1,t,f,Entire townhouse,4,1 bath,1,2,$95.00 ,3,1125,1,20,26,106,146,16,2,4.96,4.95,4.96,4.99,4.89,4.95,3.69
24441969,323664718,1/2/2020,within an hour,t,34,t,t,Entire residential home,6,3 baths,3,6,$685.00 ,1,60,15,23,53,148,64,19,0,4.89,4.83,4.94,5,4.7,4.84,1.75
24448437,157318848,11/3/2017,within an hour,t,4,t,f,Entire residential home,10,3 baths,5,7,$419.00 ,30,365,1,1,1,99,114,24,1,4.83,4.86,4.93,4.9,4.8,4.79,2.96
24451155,66925019,4/12/2016,within an hour,t,19,t,t,Entire residential home,8,1 bath,2,4,$117.00 ,1,90,0,0,0,0,42,23,0,4.74,4.86,4.81,5,4.55,4.69,1
24491960,171335032,2/2/2018,within an hour,t,3,t,t,Entire cottage,4,1 bath,1,2,$200.00 ,2,60,13,27,55,136,78,31,1,4.9,4.97,4.85,4.91,4.94,4.85,2.16
24492768,77313214,6/12/2016,within an hour,f,4,t,f,Entire residential home,8,1 bath,3,5,$165.00 ,2,30,16,43,69,74,76,17,2,4.78,4.8,4.75,4.96,4.36,4.84,2.08
24522807,185244265,4/19/2018,within an hour,t,23,t,t,Entire residential home,6,2 baths,3,3,$130.00 ,2,360,13,37,63,154,103,24,0,4.84,4.85,4.63,4.99,4.86,4.87,2.45
